% Model,Midshipman_SF_monostatic.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 9 2026, 13:57"
% Table,Table 2 - Global Evaluation 1
% theta (degree),freq (Hz),Target Strength
81,70000,-111.44684060520771
82,10000,-102.58494472826678
82,30000,-111.04181962520758
82,50000,-113.10433640326082
82,70000,-111.5476704033761
83,10000,-102.60530812302393
83,30000,-111.05537633049238
83,50000,-113.2735338566144
83,70000,-111.64525879684626
84,10000,-102.6252081116319
84,30000,-111.06681162922946
84,50000,-113.43246591902401
84,70000,-111.7395597683401
85,10000,-102.64461943369183
85,30000,-111.07631131604111
85,50000,-113.58091314864842
85,70000,-111.83049719426101
86,10000,-102.66351735669986
86,30000,-111.08405285001854
86,50000,-113.71875407367627
86,70000,-111.91797053175328
87,10000,-102.68187771126668
87,30000,-111.09020494762765
87,50000,-113.84596681371295
87,70000,-112.0018607508438
88,10000,-102.69967692598156
88,30000,-111.09492738449813
88,50000,-113.96262768649905
88,70000,-112.08203631196652
89,10000,-102.71689206189009
89,30000,-111.09837097938222
89,50000,-114.0689068809823
89,70000,-112.15835901280158
90,10000,-102.73350084648786
90,30000,-111.10067773442867
90,50000,-114.16506144322395
90,70000,-112.23068955236181
91,10000,-102.74948170718437
91,30000,-111.10198110624397
91,50000,-114.25142596202144
91,70000,-112.2988926853682
92,10000,-102.76481380414408
92,30000,-111.10240638389709
92,50000,-114.32840144641274
92,70000,-112.36284186623183
93,10000,-102.77947706245467
93,30000,-111.1020711512916
93,50000,-114.39644294583401
93,70000,-112.42242330286784
94,10000,-102.79345220353184
94,30000,-111.10108581371901
94,50000,-114.45604648030938
94,70000,-112.47753937048229
95,10000,-102.80672077570544
95,30000,-111.09955416977175
95,50000,-114.50773581885679
95,70000,-112.52811135477573
